T,R,Ch2so4,a-pinene,3-carene,b-pinene,time,limonene,alpha-terpinene,gamma-terpinene,terpinolene,p-cymene,alpha-terpinene-output,gamma-terpinene-output,terpinolene-output,p-cymene-output
104.5691653,0.201153168,5.836771979,0.625934638,0.140253693,0.169263559,0,0.2752,0.0416,0.0224,0.064,0.0208,0.040003539,0.021540367,0.061543906,0.020001769
104.5691653,0.201153168,5.836771979,0.625934638,0.140253693,0.169263559,19,0.3712,1.0752,0.5696,1.1264,0.0384,1.033937618,0.547740762,1.083172742,0.036926343
104.5691653,0.201153168,5.836771979,0.625934638,0.140253693,0.169263559,64,0.2304,2.0256,0.9888,1.5968,0.12,1.947864619,0.950853345,1.53552045,0.115394823
104.5691653,0.201153168,5.836771979,0.625934638,0.140253693,0.169263559,97,0.0768,2.1664,0.9152,1.4496,0.1904,2.083261212,0.880077853,1.393969467,0.18309312
104.5691653,0.201153168,5.836771979,0.625934638,0.140253693,0.169263559,140,0.0288,2.0416,0.7808,1.3728,0.2704,1.963250595,0.750835651,1.32011678,0.260023002
104.5691653,0.201153168,5.836771979,0.625934638,0.140253693,0.169263559,185,0.016,1.664,0.6368,1.104,0.3664,1.600141551,0.612361863,1.061632375,0.352338861
104.5691653,0.201153168,5.836771979,0.625934638,0.140253693,0.169263559,268,0.0032,0.6176,0.272,0.6336,0.7904,0.593898691,0.2615616,0.609284667,0.760067237
79,0.238,4.6,0.458,0.0987,0.328,0,0.2592,0,0,0,0.008,0,0,0,0.007692988
79,0.238,4.6,0.458,0.0987,0.328,1,0.2592,0,0,0,0.008,0,0,0,0.007692988
79,0.238,4.6,0.458,0.0987,0.328,5,0.2592,0,0,0,0.0096,0,0,0,0.009231586
79,0.238,4.6,0.458,0.0987,0.328,71,0.3488,0.352,0.2688,0.5472,0.0272,0.338491482,0.258484404,0.526200395,0.02615616
79,0.238,4.6,0.458,0.0987,0.328,137,0.4128,0.9312,0.736,1.104,0.0624,0.895463829,0.707754917,1.061632375,0.060005308
79,0.238,4.6,0.458,0.0987,0.328,203,0.3712,1.3472,1.0528,1.3216,0.1136,1.295499217,1.012397251,1.270881655,0.109240433
79,0.238,4.6,0.458,0.0987,0.328,269,0.2592,1.6864,1.2352,1.3216,0.1696,1.621681918,1.187797382,1.270881655,0.16309135
78.3,0.2157,4.1435,0.4639,0.1043,0.3675,0,0.2528,0,0,0,0.0048,0,0,0,0.004615793
78.3,0.2157,4.1435,0.4639,0.1043,0.3675,2,0.2528,0,0,0,0.0064,0,0,0,0.006154391
78.3,0.2157,4.1435,0.4639,0.1043,0.3675,24,0.2656,0.0192,0,0.0064,0.0128,0.018463172,0,0.006154391,0.012308781
78.3,0.2157,4.1435,0.4639,0.1043,0.3675,85,0.3296,0.1664,0.1376,0.368,0.0464,0.160014155,0.132319397,0.353877458,0.044619332
78.3,0.2157,4.1435,0.4639,0.1043,0.3675,148,0.384,0.4,0.3616,0.6976,0.096,0.384649411,0.347723068,0.670828573,0.092315859
78.3,0.2157,4.1435,0.4639,0.1043,0.3675,233,0.4192,0.752,0.6816,1.0432,0.2096,0.723140893,0.655442597,1.003165665,0.201556292
78.3,0.2157,4.1435,0.4639,0.1043,0.3675,270,0.4096,0.8928,0.8128,1.1296,0.2512,0.858537486,0.781607604,1.086249937,0.24155983
104,0.1947,4.09,0.5211,0.2229,0.1833,0,0.2688,0,0,0,0.0112,0,0,0,0.010770184
104,0.1947,4.09,0.5211,0.2229,0.1833,2,0.272,0,0,0,0.0144,0,0,0,0.013847379
104,0.1947,4.09,0.5211,0.2229,0.1833,5,0.272,0,0,0,0.016,0,0,0,0.015385976
104,0.1947,4.09,0.5211,0.2229,0.1833,70,0.3488,0.3904,0.224,0.5216,0.0352,0.375417825,0.21540367,0.501582832,0.033849148
104,0.1947,4.09,0.5211,0.2229,0.1833,138,0.3616,1.1008,0.6176,1.0912,0.0928,1.05855518,0.593898691,1.049323594,0.089238663
104,0.1947,4.09,0.5211,0.2229,0.1833,205,0.1664,1.7344,0.816,1.2448,0.1984,1.667839847,0.784684799,1.197028968,0.190786108
104,0.1947,4.09,0.5211,0.2229,0.1833,270,0.0672,1.2704,0.5728,0.9472,0.3152,1.22164653,0.550817957,0.910849806,0.303103736
105,0.3435,6.94,0.631,0.0059,0.2861,0,0.2528,0,0,0,0.016,0,0,0,0.015385976
105,0.3435,6.94,0.631,0.0059,0.2861,20,0.1984,2.1664,0.9952,1.6256,0.0832,2.083261212,0.957007735,1.563215207,0.080007078
105,0.3435,6.94,0.631,0.0059,0.2861,30,0.0896,2.3328,0.976,1.5936,0.1024,2.243275367,0.938544564,1.532443255,0.098470249
105,0.3435,6.94,0.631,0.0059,0.2861,60,0.0224,2.1952,0.7936,1.4912,0.1856,2.110955969,0.763144432,1.433973005,0.178477327
105,0.3435,6.94,0.631,0.0059,0.2861,98,0.0192,1.8944,0.6976,1.3344,0.2624,1.821699612,0.670828573,1.283190436,0.252330014
105,0.3435,6.94,0.631,0.0059,0.2861,140,0.0128,1.4592,0.5408,1.0816,0.352,1.403201052,0.520046004,1.040092008,0.338491482
101,0.2185,5.33,0.4772,0.1133,0.3469,0,0.2656,0,0,0,0.0128,0,0,0,0.012308781
101,0.2185,5.33,0.4772,0.1133,0.3469,51,0.3552,1.824,1.0112,1.5584,0.0544,1.754001316,0.972393712,1.498594106,0.05231232
101,0.2185,5.33,0.4772,0.1133,0.3469,102,0.0992,2.3424,1.056,1.5648,0.1104,2.252506953,1.015474446,1.504748497,0.106163238
